#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_7	1305287	30	N	N	1	*	*,7,23,23,23,23,23
contig_10	1147689	30	N	N	1	*	*,10,*
contig_20	997753	29	N	N	1	*	*,20,*
contig_53	956996	31	N	N	1	*	*,53,*
contig_43	798619	29	N	N	1	*	*,43,*
contig_37	793604	31	N	N	1	*	*,37,*
contig_44	705308	30	N	N	1	*	*,44,103
contig_2	692481	30	N	N	1	*	*,2,*
contig_35	650819	30	N	N	1	*	35,*
contig_18	624051	30	N	N	1	*	*,18,*
contig_54	619583	29	N	N	1	*	*,54,*
contig_6	616136	30	N	N	1	*	*,6,*
contig_70	613543	31	N	N	1	*	*,70,*
contig_108	609706	30	N	N	1	*	*,108,*
contig_17	589982	30	N	N	1	*	*,17,*
contig_102	580115	29	N	N	1	*	*,102,*
contig_1	556908	30	N	N	1	*	*,1,*
contig_86	549514	30	N	N	1	*	*,86,*
contig_69	531896	29	N	N	1	*	*,69,*
contig_114	518944	31	N	N	1	*	*,114,*
contig_93	515385	30	N	N	1	*	*,93,*
contig_106	501340	29	N	N	1	*	*,106,*
contig_87	498293	32	N	N	1	*	*,87,*
contig_48	496633	29	N	N	1	*	*,48,*
contig_60	449341	30	N	N	1	*	*,60,*
contig_12	443596	30	N	N	1	*	*,12,*
contig_21	437424	27	N	N	1	*	*,21,*
contig_89	418663	31	N	N	1	*	*,89,*
contig_107	408077	30	N	N	1	*	*,107,*
contig_14	405048	31	N	N	1	*	31,-34,-32,-24,-23,-23,-23,14,*
contig_26	403771	30	N	N	1	*	*,26,*
contig_99	398696	31	N	N	1	*	*,99,*
contig_73	398359	29	N	N	1	*	*,73,*
contig_61	394358	31	N	N	1	*	*,61,*
contig_13	388678	29	N	N	1	*	*,13,*
contig_65	371947	31	N	N	1	*	*,65,*
contig_83	361235	32	N	N	1	*	*,83,*
contig_96	358466	28	N	N	1	*	*,96,*
contig_79	345597	30	N	N	1	*	*,79,*
contig_45	329174	29	N	N	1	*	*,45,*
contig_36	324163	30	N	N	1	*	*,36,*
contig_104	314626	29	N	N	1	*	*,104,*
contig_39	295881	30	N	N	1	*	*,39,*
contig_47	293471	28	N	N	1	*	*,47,*
contig_15	286897	29	N	N	1	*	*,15,*
contig_52	284505	30	N	N	1	*	*,52,*
contig_22	281699	30	N	N	1	*	*,22,*
contig_112	278347	28	N	N	1	*	*,112,*
contig_88	276675	30	N	N	1	*	*,88,*
contig_40	273140	29	N	N	1	*	*,40,*
contig_175	263756	27	N	N	1	*	*,175,*
contig_51	263098	31	N	N	1	*	*,51,*
contig_67	262752	30	N	N	1	*	*,67,*
contig_25	258126	29	N	N	1	*	*,25,*
contig_184	250723	29	N	N	1	*	*,184,*
contig_55	245893	29	N	N	1	*	*,55,*
contig_189	243802	29	N	N	1	*	*,189,*
contig_132	236388	29	N	N	1	*	*,132,*
contig_19	233028	27	N	N	1	*	*,19,*
contig_145	213157	29	N	N	1	*	*,145,*
contig_58	211984	30	N	N	1	*	*,58,*
contig_8	211848	30	N	N	1	*	*,8,*
contig_179	199446	30	N	N	1	*	*,179,*
contig_126	196306	32	N	N	1	*	*,126,*
contig_66	191448	28	N	N	1	*	*,66,*
contig_90	171983	32	N	N	1	*	*,90,*
contig_146	168832	29	N	N	1	*	*,146,*
contig_94	166664	29	N	N	1	*	*,94,*
contig_155	154795	27	N	N	1	*	*,155,*
contig_150	154357	30	N	N	1	*	*,150,23,23,23,23,23,23,23,23,24
contig_72	153203	29	N	N	1	*	*,72,*
contig_141	151800	30	N	N	1	*	*,141,*
contig_174	148765	27	N	N	1	*	*,174,*
contig_62	145970	27	N	N	1	*	*,62,*
contig_50	145562	30	N	N	1	*	50,*
contig_123	144905	31	N	N	1	*	*,123,*
contig_185	144028	30	N	N	1	*	*,185,*
contig_117	141526	29	N	N	1	*	*,117,*
contig_177	141326	26	N	N	1	*	*,177,*
contig_134	136680	31	N	N	1	*	*,134,*
contig_130	136538	30	N	N	1	*	*,130,*
contig_100	122145	32	N	N	1	*	*,100,*
contig_56	118162	31	N	N	1	*	*,56,*
contig_16	115445	31	N	N	1	*	*,16,*
contig_28	114037	30	N	N	1	*	28,*
contig_167	113783	27	N	N	1	*	*,167,*
contig_63	112761	29	N	N	1	*	*,63,*
contig_95	108715	29	N	N	1	*	*,95,*
contig_173	108281	30	N	N	1	*	-23,-23,-23,-23,-23,173,*
contig_127	102913	29	N	N	1	*	*,127,*
contig_170	101091	28	N	N	1	*	*,170,*
contig_85	91832	30	N	N	1	*	*,85,*
contig_9	91600	30	N	N	1	*	*,9,*
contig_38	89412	24	N	N	1	*	*,38,*
contig_183	84586	31	N	N	1	*	*,183,*
contig_77	81861	27	N	N	1	*	*,77,*
contig_49	80118	30	N	N	1	*	*,49,*
contig_11	79792	35	N	N	1	*	*,11,*
contig_64	74106	27	N	N	1	*	*,64,*
contig_98	73872	26	N	N	1	*	*,98,*
contig_168	69103	32	N	N	1	*	*,168,*
contig_71	65288	28	N	N	1	*	*,71,*
contig_144	60782	33	N	N	1	*	*,144,*
contig_128	60694	29	N	N	1	*	*,128,*
contig_5	59866	30	N	N	1	*	*,5,*
contig_180	55041	30	N	N	1	*	*,180,81
contig_68	54437	33	N	N	1	*	*,68,*
contig_74	52631	28	N	N	1	*	*,74,*
contig_57	51864	27	N	N	1	*	*,57,*
contig_171	49064	30	N	N	1	*	*,171,*
contig_164	48242	26	N	N	1	*	*,164,*
contig_119	46716	33	N	N	1	*	*,119,*
contig_161	45979	31	N	N	1	*	*,161,*
contig_190	44954	30	N	N	1	*	*,190,*
contig_124	44443	25	N	N	1	*	*,124,*
contig_116	38009	29	N	N	1	*	*,116,*
contig_135	36953	24	N	N	1	*	*,135,*
contig_82	35775	25	N	N	1	*	-81,82,*
contig_181	34067	26	N	N	1	*	*,181,*
contig_92	32976	31	N	N	1	*	*,92,*
contig_172	32813	29	N	N	1	*	172,*
contig_121	31855	25	N	N	1	*	*,121,*
contig_166	31386	33	N	N	1	*	*,166,*
contig_81	30958	644	N	Y	25	*	81
contig_125	28747	26	N	N	1	*	*,125,*
contig_131	28296	33	N	N	1	*	*,131,*
contig_178	26107	28	N	N	1	*	*,178,*
contig_169	25353	29	N	N	1	*	*,169,*
contig_154	25142	32	N	N	1	*	*,154,*
contig_105	23753	33	N	N	1	*	*,105,*
contig_3	23714	30	N	N	1	*	*,3,*
contig_78	23356	25	N	N	1	*	*,78,*
contig_158	22253	25	N	N	1	*	*,158,*
contig_27	21485	31	N	N	1	*	27,*
contig_4	20880	35	N	N	1	*	*,4,*
contig_143	20821	19	N	N	1	*	*,143,*
contig_136	20641	9	N	N	1	*	*,136,*
contig_153	19101	37	N	N	1	*	*,153,*
contig_176	18748	28	N	N	1	*	*,176,*
contig_133	18720	16	N	N	1	*	*,133,*
contig_182	18503	30	N	N	1	*	*,182,*
contig_46	18253	31	N	N	1	*	*,46,*
contig_187	17612	30	N	N	1	*	*,187,*
contig_160	16535	17	N	N	1	*	*,160,*
contig_42	16316	21	N	N	1	*	*,42,*
contig_147	14520	25	N	N	1	*	*,147,*
contig_152	14499	30	N	N	1	*	*,152,*
contig_138	14187	29	N	N	1	*	*,138,*
contig_159	11462	19	N	N	1	*	*,159,*
contig_91	11091	25	N	N	1	*	*,91,*
contig_188	10631	26	N	N	1	*	*,188,*
contig_41	10617	22	N	N	1	*	*,41,*
contig_118	9847	20	N	N	1	*	*,118,*
contig_122	8070	23	N	N	1	*	*,122,*
contig_129	7853	15	N	N	1	*	*,129,*
contig_151	7415	25	N	N	1	*	*,151,*
contig_97	7158	18	N	N	1	*	*,97,*
contig_75	6932	13	N	N	1	*	*,75,*
contig_120	6794	16	N	N	1	*	*,120,*
contig_137	6693	15	N	N	1	*	*,137,*
contig_165	6627	12	N	N	1	*	*,165,*
contig_186	6594	23	N	N	1	*	*,186,*
contig_140	6008	18	N	N	1	*	*,140,*
contig_163	5056	12	N	N	1	*	*,163,*
contig_142	4707	15	N	N	1	*	*,142,*
contig_162	4528	8	N	N	1	*	*,162,*
contig_139	4411	15	N	N	1	*	*,139,*
contig_157	3614	13	N	N	1	*	*,157,*
contig_30	3533	7	N	N	1	*	*,30,*
contig_148	3433	20	N	N	1	*	*,148,*
contig_110	3365	11	N	N	1	*	*,110,*
contig_33	3353	18	N	N	1	*	*,33,*
contig_156	2982	9	N	N	1	*	*,156,*
contig_59	2862	18	N	N	1	*	*,59,*
contig_101	2816	13	N	N	1	*	*,101,*
contig_115	2783	20	N	N	1	*	*,115,*
contig_113	2770	13	N	N	1	*	*,113,*
contig_29	2602	20	N	N	1	*	*,29,*
contig_109	2490	11	N	N	1	*	*,109,*
contig_111	1497	15	N	N	2	*	*,111,*
contig_31	1486	127	N	Y	4	*	31
contig_76	1477	16	N	N	2	*	*,76,*
contig_80	928	175	N	Y	6	*	80
contig_84	878	20	Y	Y	1	2	84
