# SignalP-6.0	Organism: Eukarya	Timestamp: 20250630065032
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
ATUBSCAF1_000001-T1 ATUBSCAF1_000001	OTHER	1.000000	0.000000	
ATUBSCAF1_000002-T1 ATUBSCAF1_000002	OTHER	1.000000	0.000000	
ATUBSCAF1_000003-T1 ATUBSCAF1_000003	OTHER	0.999803	0.000206	
ATUBSCAF1_000004-T1 ATUBSCAF1_000004	OTHER	1.000000	0.000000	
ATUBSCAF1_000005-T1 ATUBSCAF1_000005	OTHER	1.000000	0.000000	
ATUBSCAF1_000006-T1 ATUBSCAF1_000006	OTHER	1.000000	0.000002	
ATUBSCAF1_000007-T1 ATUBSCAF1_000007	SP	0.000426	0.999569	CS pos: 24-25. Pr: 0.9771
ATUBSCAF1_000008-T1 ATUBSCAF1_000008	OTHER	0.999634	0.000367	
ATUBSCAF1_000009-T1 ATUBSCAF1_000009	OTHER	1.000000	0.000001	
ATUBSCAF1_000010-T1 ATUBSCAF1_000010	OTHER	1.000000	0.000026	
ATUBSCAF1_000011-T1 ATUBSCAF1_000011	OTHER	1.000000	0.000000	
ATUBSCAF1_000012-T1 ATUBSCAF1_000012	OTHER	1.000000	0.000001	
ATUBSCAF1_000013-T1 ATUBSCAF1_000013	OTHER	1.000000	0.000015	
ATUBSCAF1_000014-T1 ATUBSCAF1_000014	OTHER	1.000000	0.000000	
ATUBSCAF1_000015-T1 ATUBSCAF1_000015	OTHER	1.000000	0.000000	
ATUBSCAF1_000016-T1 ATUBSCAF1_000016	OTHER	1.000000	0.000000	
ATUBSCAF1_000017-T1 ATUBSCAF1_000017	OTHER	0.999372	0.000648	
ATUBSCAF1_000018-T1 ATUBSCAF1_000018	OTHER	1.000000	0.000000	
ATUBSCAF1_000019-T1 ATUBSCAF1_000019	OTHER	1.000000	0.000000	
ATUBSCAF1_000020-T1 ATUBSCAF1_000020	OTHER	1.000000	0.000000	
ATUBSCAF1_000021-T1 ATUBSCAF1_000021	OTHER	1.000000	0.000000	
ATUBSCAF1_000022-T1 ATUBSCAF1_000022	OTHER	1.000000	0.000000	
ATUBSCAF1_000023-T1 ATUBSCAF1_000023	OTHER	1.000000	0.000000	
ATUBSCAF1_000024-T1 ATUBSCAF1_000024	OTHER	1.000000	0.000002	
ATUBSCAF1_000025-T1 ATUBSCAF1_000025	OTHER	1.000000	0.000000	
ATUBSCAF1_000026-T1 ATUBSCAF1_000026	OTHER	1.000000	0.000000	
ATUBSCAF1_000027-T1 ATUBSCAF1_000027	OTHER	1.000000	0.000002	
ATUBSCAF1_000027-T2 ATUBSCAF1_000027	OTHER	1.000000	0.000002	
ATUBSCAF1_000028-T1 ATUBSCAF1_000028	OTHER	1.000000	0.000000	
ATUBSCAF1_000029-T1 ATUBSCAF1_000029	OTHER	1.000000	0.000000	
